EC number	SuperFamilyCount	ProteinCount	Entries
('2.7.11.18',)	2	18	"{""('SSF48726',)"": [""P79280""], ""('SSF56112',)"": [""A8C984"", ""E9PT87"", ""P07313"", ""P20689"", ""P25323"", ""Q32MK0"", ""Q3UIZ8"", ""Q8VCR8"", ""Q9H1R3"", ""A4IFM7"", ""Q54PB4"", ""Q54SJ5"", ""Q54W86"", ""Q5RDG7"", ""Q869W6"", ""Q54CY9"", ""Q86AD7""]}"
('2.7.13.3',)	3	76	"{""('SSF47384',)"": [""P74199""], ""('SSF55785',)"": [""Q1M667"", ""Q8YC53"", ""Q2YKK7"", ""A5VUS1"", ""A6X554"", ""A9MBM8"", ""A9WYQ7"", ""B2SB67"", ""Q577Y7"", ""Q8FW73""], ""('SSF55874',)"": [""B7GDS0"", ""O07778"", ""O34757"", ""P40758"", ""P94438"", ""Q7WZY5"", ""Q99027"", ""A0QTP6"", ""A5IVH3"", ""A6QJN2"", ""A6U4C1"", ""A7X624"", ""A8Z581"", ""O06979"", ""O31516"", ""O32198"", ""O35044"", ""O53857"", ""P42422"", ""P44604"", ""P55183"", ""P70954"", ""P96685"", ""Q1M799"", ""Q2FEA5"", ""Q2FVM6"", ""Q2G1E0"", ""Q2YZ41"", ""Q4L8Q7"", ""Q5HDG4"", ""Q5HLK5"", ""Q5HR80"", ""Q6G6S9"", ""Q6GE41"", ""Q795K2"", ""Q7A028"", ""Q8CR97"", ""Q8CTL4"", ""Q931F6"", ""Q99RN7"", ""Q99SZ7"", ""O34971"", ""Q2FK46"", ""Q2YV55"", ""Q49YT0"", ""Q4A009"", ""Q4L7J6"", ""Q4L8V3"", ""Q5HEN9"", ""Q5HJF6"", ""Q5HKE1"", ""Q5HN49"", ""Q6G849"", ""Q6GCQ2"", ""Q6GFH2"", ""Q6GK92"", ""Q7A0H9"", ""Q7A2Q0"", ""Q7A7X8"", ""Q7D9K1"", ""Q8CRV2"", ""Q8CU03"", ""Q8NYJ8"", ""Q99WZ9"", ""Q9KWK8""]}"
('2.7.2.1',)	3	353	"{""('SSF51182',)"": [""Q9ZFV5"", ""P76555"", ""Q187N7""], ""('SSF52540',)"": [""P0A208"", ""P76556"", ""P0A209""], ""('SSF53067',)"": [""P0A6A3"", ""P38502"", ""P63411"", ""A0QQK1"", ""P37877"", ""P77845"", ""Q9WYB1"", ""A0JZZ4"", ""A0KVG7"", ""A0LIB0"", ""A0Q0Z5"", ""A0QLU8"", ""A0RP54"", ""A1R050"", ""A1RIH0"", ""A1S5P6"", ""A1T2Y9"", ""A1UAA8"", ""A1VAA0"", ""A1VZ44"", ""A2RC62"", ""A3D600"", ""A3N011"", ""A3PTW3"", ""A3QFL1"", ""A4J6A8"", ""A4QHF4"", ""A4T166"", ""A4TM44"", ""A4VIM1"", ""A4VSL6"", ""A4XL40"", ""A4XYH6"", ""A4Y819"", ""A5CPD5"", ""A5EVU0"", ""A5FE24"", ""A5I4N7"", ""A5IKE7"", ""A5ITN4"", ""A5N802"", ""A5UCQ6"", ""A5UIW8"", ""A6KXS0"", ""A6LHA9"", ""A6LMG9"", ""A6LSL7"", ""A6QBT0"", ""A6QHP5"", ""A6TRU6"", ""A6U2H8"", ""A6VAE3"", ""A6WPT9"", ""A7FGP4"", ""A7FW24"", ""A7GG48"", ""A7GTR9"", ""A7GYC8"", ""A7H4D5"", ""A7HL30"", ""A7I2H6"", ""A7MH28"", ""A7MVE1"", ""A7X3E0"", ""A7Z7M2"", ""A7ZDP4"", ""A8AZH2"", ""A8F3X9"", ""A8FLB9"", ""A8GH24"", ""A8GM71"", ""A8H356"", ""A8Z2M7"", ""A9KNV3"", ""A9L605"", ""A9NFI4"", ""A9R6M9"", ""A9VKE9"", ""B0BNS1"", ""B0CB11"", ""B0JMT8"", ""B0K9Y6"", ""B0RIG4"", ""B0S1N0"", ""B0TGV2"", ""B0UTZ5"", ""B1GZX0"", ""B1I9A0"", ""B1II90"", ""B1JGK4"", ""B1KJX4"", ""B1KWP9"", ""B1L9M9"", ""B1V924"", ""B1W052"", ""B1YKC5"", ""B2A8I5"", ""B2GB54"", ""B2GKK6"", ""B2HPZ3"", ""B2J068"", ""B2K830"", ""B2RK02"", ""B2S0W8"", ""B2S371"", ""B2TJ17"", ""B2UU54"", ""B2V4D1"", ""B2VIP6"", ""B3EB76"", ""B3H169"", ""B3QA57"", ""B3QV27"", ""B3QZW9"", ""B4EZD9"", ""B4U063"", ""B5E2W4"", ""B5RMH1"", ""B5RPW7"", ""B5XJD9"", ""B5Y7W0"", ""B5YDP7"", ""B6YQE9"", ""B7GGR2"", ""B7IDH3"", ""B7J2I0"", ""B7K4D0"", ""B7KGG9"", ""B7UYA0"", ""B8CWV8"", ""B8DMG5"", ""B8E191"", ""B8EEJ1"", ""B8EIS2"", ""B8F420"", ""B8FRT2"", ""B8HF37"", ""B8HVB6"", ""B8I447"", ""B8J374"", ""B8ZPA4"", ""B9DN93"", ""B9DT06"", ""B9E7B7"", ""B9KFY4"", ""B9MJT3"", ""C0M6X6"", ""C0MEF7"", ""C0QWN8"", ""C1A9T6"", ""C1CA89"", ""C1CGX4"", ""C1CMZ0"", ""C1CTV0"", ""C1D087"", ""C1FSN0"", ""C3L0F7"", ""C3PJJ2"", ""C4L493"", ""C4Z917"", ""C5C8D9"", ""C5D683"", ""C6BYL8"", ""C6DA54"", ""O05278"", ""O51567"", ""O52594"", ""O83489"", ""P0A6A4"", ""P0A6A5"", ""P0CL98"", ""P0CL99"", ""P0CW04"", ""P0CW05"", ""P0CZ46"", ""P0CZ47"", ""P44406"", ""P47599"", ""P57272"", ""P57866"", ""P58382"", ""P63410"", ""P63412"", ""P63413"", ""P63414"", ""P63415"", ""P71104"", ""P73162"", ""P75245"", ""P9WQH0"", ""P9WQH1"", ""Q022T0"", ""Q02HZ4"", ""Q03CP2"", ""Q03IL2"", ""Q04IC8"", ""Q057V8"", ""Q080J4"", ""Q0AYW5"", ""Q0BPA5"", ""Q0HK48"", ""Q0HWE9"", ""Q0I3R3"", ""Q17WE3"", ""Q18B36"", ""Q1BEM5"", ""Q1C6A1"", ""Q1CHP3"", ""Q1J2C9"", ""Q1J8W0"", ""Q1JE09"", ""Q1JJ12"", ""Q1JNW6"", ""Q1LT88"", ""Q1MRP0"", ""Q1QPW6"", ""Q24U35"", ""Q2FG27"", ""Q2FXL5"", ""Q2HAJ4"", ""Q2JLQ2"", ""Q2JRF6"", ""Q2NIR6"", ""Q2NSJ4"", ""Q2RJY3"", ""Q2YTC9"", ""Q30UJ4"", ""Q30WB0"", ""Q39WV0"", ""Q3AC47"", ""Q3K3K1"", ""Q3MFX2"", ""Q46BI1"", ""Q48VQ0"", ""Q49113"", ""Q49YE2"", ""Q4JXQ4"", ""Q4L752"", ""Q4QL95"", ""Q4UNB0"", ""Q59331"", ""Q5B3G6"", ""Q5DZD2"", ""Q5E6L4"", ""Q5HF63"", ""Q5HNJ4"", ""Q5HV92"", ""Q5KW66"", ""Q5LI41"", ""Q5WED5"", ""Q5XE86"", ""Q5YNP4"", ""Q633F8"", ""Q64Z48"", ""Q65G65"", ""Q65TV4"", ""Q660Q0"", ""Q668Z0"", ""Q67L76"", ""Q68XX8"", ""Q6AGY7"", ""Q6AQT5"", ""Q6D2Q6"", ""Q6F273"", ""Q6G8L6"", ""Q6GFZ6"", ""Q6HCP0"", ""Q6LLD4"", ""Q6LNF6"", ""Q6MBG3"", ""Q6MTX5"", ""Q6N143"", ""Q6NF47"", ""Q6YR57"", ""Q71Z86"", ""Q720R2"", ""Q726S6"", ""Q72Z96"", ""Q73P66"", ""Q73T33"", ""Q749N5"", ""Q7MEL2"", ""Q7MJM8"", ""Q7MVI0"", ""Q7N2I1"", ""Q7NAZ6"", ""Q7NLW9"", ""Q7NXU5"", ""Q7SH17"", ""Q7VGL3"", ""Q7VLI5"", ""Q817C0"", ""Q81KV0"", ""Q82JD1"", ""Q833H0"", ""Q87IJ5"", ""Q87MZ4"", ""Q88V41"", ""Q895N2"", ""Q89AS8"", ""Q8A1G8"", ""Q8CS60"", ""Q8D320"", ""Q8D7K4"", ""Q8DAH8"", ""Q8DGH7"", ""Q8DS57"", ""Q8E231"", ""Q8E7I7"", ""Q8ED55"", ""Q8EPB9"", ""Q8FMB7"", ""Q8K9W6"", ""Q8NW53"", ""Q8P2X6"", ""Q8R9V4"", ""Q8RED7"", ""Q8TK19"", ""Q8XJN2"", ""Q8XNW5"", ""Q8Y6V0"", ""Q8Y7V1"", ""Q8YU00"", ""Q8ZDJ6"", ""Q92BD4"", ""Q92CN9"", ""Q931P6"", ""Q98QX2"", ""Q99TF2"", ""Q9CE35"", ""Q9CE36"", ""Q9F1X7"", ""Q9I5A4"", ""Q9JT07"", ""Q9JTM0"", ""Q9JYM1"", ""Q9K0X1"", ""Q9K815"", ""Q9KMT5"", ""Q9KT07"", ""Q9L298"", ""Q9PPL8"", ""Q9RR92"", ""Q9X449"", ""Q9X4M1"", ""Q9ZE38"", ""Q9ZKU5""]}"
('2.7.4.2',)	2	9	"{""('SSF52540',)"": [""Q15126"", ""Q29081"", ""Q2KIU2"", ""Q9D1G2"", ""Q9VIT2""], ""('SSF54211',)"": [""P24521"", ""A0A1D8PLH0"", ""Q9C6T1"", ""Q9UT88""]}"
('2.7.6.3',)	2	26	"{""('SSF55083',)"": [""P26281"", ""B2RI92"", ""P0C936"", ""P29252"", ""P43777"", ""P71512"", ""O25680"", ""O66550"", ""O69528"", ""O87790"", ""P0C0G2"", ""P0C0G3"", ""P0DB10"", ""P0DB11"", ""P64144"", ""P72736"", ""P9WNC6"", ""P9WNC7"", ""Q5XCA6"", ""Q8P151"", ""Q9HV71"", ""Q9PJ54"", ""Q9ZM35""], ""('SSF63999',)"": [""O27637"", ""Q59028"", ""Q8U2A9""]}"
('2.7.7.101',)	2	60	"{""('SSF110455',)"": [""P95980"", ""A1RXH8"", ""A2BL78"", ""A3DMX9"", ""A4YIP0"", ""B8D687"", ""Q4JCH7"", ""Q96YV2"", ""Q9YA42""], ""('SSF56731',)"": [""A0B738"", ""A1RT54"", ""A2SQD1"", ""A3CUA0"", ""A3MV08"", ""A4FWP8"", ""A4WM20"", ""A5UKA4"", ""A6UPT0"", ""A6UV02"", ""A6VGM3"", ""A7I6K3"", ""A8A8J3"", ""A8MA86"", ""A9AA28"", ""B0R6C7"", ""B1Y919"", ""B6YSY6"", ""B8GFL8"", ""B9LR58"", ""C3MJP0"", ""C3MYZ8"", ""C3N047"", ""C3N8R1"", ""C3NMQ7"", ""C4KJ86"", ""C5A1K9"", ""O26977"", ""O28380"", ""O59362"", ""Q0W793"", ""Q12V67"", ""Q2FLB2"", ""Q2NEM0"", ""Q3INE3"", ""Q46DW1"", ""Q58603"", ""Q5JH14"", ""Q5V1H7"", ""Q6L1F0"", ""Q6LXR3"", ""Q74MB1"", ""Q8PXC6"", ""Q8TH87"", ""Q8TXP3"", ""Q8U076"", ""Q8ZVU9"", ""Q97CE5"", ""Q9HLX7"", ""Q9HP65"", ""Q9V1F2""]}"
('2.7.7.108',)	2	24	"{""('SSF140931',)"": [""E6Z0R3"", ""Q7DDR9"", ""Q87P32"", ""Q8E9K5"", ""Q6G2A9"", ""P20605"", ""P20751"", ""O66426"", ""P44088"", ""P55548""], ""('SSF81301',)"": [""Q8ECH7"", ""A0A0B0QJN8"", ""I3ZRF1"", ""P43933"", ""Q57590"", ""Q57592"", ""Q57606"", ""Q57877"", ""Q58021"", ""Q58612"", ""Q58614"", ""Q58701"", ""Q58774"", ""Q58942""]}"
('2.7.7.15',)	2	15	"{""('SSF52374',)"": [""P13259"", ""P19836"", ""P49584"", ""P49585"", ""P49586"", ""Q811Q9"", ""Q9Y5K3"", ""F4JJE0"", ""Q9QZC4"", ""Q9ZV56"", ""O74975"", ""P49583"", ""P49587""], ""('SSF53448',)"": [""Q8DPI6"", ""P14183""]}"
('2.7.7.2',)	2	65	"{""('SSF52374',)"": [""Q58579"", ""Q8VZR0"", ""Q9FMW8"", ""A0B7A6"", ""A2SQH8"", ""A3CXW9"", ""A4FXX6"", ""A5ULI6"", ""A6UNT3"", ""A6UWK8"", ""A6VFN4"", ""A7I4S0"", ""A9AB01"", ""B0R450"", ""B1L7J8"", ""B5I9H4"", ""B6YXC8"", ""B8GJN8"", ""B9LSN4"", ""C5A1S7"", ""C6A439"", ""C7NTR1"", ""C7P4K0"", ""C7P607"", ""C9RF94"", ""D1YZF2"", ""D2RES5"", ""D2RTP8"", ""D3DZ18"", ""D3RZA9"", ""D3S3T0"", ""D3SYU6"", ""D4GVJ2"", ""D5EBS7"", ""D5VUB0"", ""D7DTT8"", ""D7E8Z9"", ""D8J4S4"", ""D9PX81"", ""E1RHM5"", ""E3GWN9"", ""O26932"", ""O28854"", ""O58466"", ""Q0W933"", ""Q10BX9"", ""Q12YR1"", ""Q2FT79"", ""Q2NHB2"", ""Q3IQ95"", ""Q46AS7"", ""Q5JHT4"", ""Q6L0A7"", ""Q6LYP5"", ""Q8Q095"", ""Q8TPT5"", ""Q8TXT2"", ""Q8U1T9"", ""Q8Y914"", ""Q979C2"", ""Q9HJ34"", ""Q9HRB2"", ""Q9UZ37""], ""('SSF52402',)"": [""O74841"", ""P38913""]}"
('2.7.7.24',)	2	24	"{""('SSF53448',)"": [""P26393"", ""P37744"", ""P61887"", ""P9WH13"", ""A0QPF9"", ""P55253"", ""B0RVK9"", ""P08075"", ""P0C7J4"", ""P37762"", ""P37779"", ""P39629"", ""P55254"", ""P55255"", ""P55257"", ""P57040"", ""P61888"", ""P95778"", ""P9WH12"", ""Q9L9E6"", ""Q9RR29"", ""Q9ZAE7"", ""P55464""], ""('SSF56655',)"": [""P29785""]}"
('2.7.7.27',)	2	3	"{""('SSF51161',)"": [""P55240""], ""('SSF53448',)"": [""P55239"", ""P30522""]}"
('2.7.7.48',)	2	134	"{""('SSF54928',)"": [""Q9SG02"", ""Q9LQV2""], ""('SSF56672',)"": [""P11124"", ""P14647"", ""P22956"", ""Q66929"", ""Q02119"", ""Q9IMM4"", ""Q9WQ77"", ""A2T3S0"", ""A3DSK5"", ""A4PBP6"", ""A4ZCW2"", ""A4ZCW8"", ""A7J390"", ""A7J398"", ""A7J3A2"", ""A7J3A6"", ""A7L9Z4"", ""B1NKQ9"", ""B1NKR3"", ""B1NKS9"", ""B1NKT7"", ""B1NKU1"", ""B2BMF7"", ""B2BMQ6"", ""B3F2X5"", ""O37061"", ""P03593"", ""P03594"", ""P07993"", ""P09505"", ""P0CK31"", ""P0CK32"", ""P11640"", ""P12918"", ""P16490"", ""P17377"", ""P17460"", ""P17468"", ""P17699"", ""P19723"", ""P19724"", ""P20177"", ""P21615"", ""P22173"", ""P22174"", ""P22678"", ""P25328"", ""P26190"", ""P29035"", ""P29044"", ""P29045"", ""P31817"", ""P35942"", ""P89034"", ""P89678"", ""Q07048"", ""Q3ZK55"", ""Q45UG0"", ""Q66096"", ""Q67653"", ""Q80873"", ""Q82630"", ""Q83424"", ""Q85036"", ""Q89251"", ""Q8AZL8"", ""Q91CD5"", ""Q91E95"", ""Q96631"", ""Q98631"", ""Q992J0"", ""Q9J7Z2"", ""Q9Q6Q5"", ""Q9QNB3"", ""Q9WQ76"", ""A9Q1K7"", ""B2BNE0"", ""B3VML1"", ""O15925"", ""O39436"", ""O40977"", ""O41353"", ""O57044"", ""O64308"", ""O70695"", ""O92604"", ""P00585"", ""P04518"", ""P06012"", ""P07393"", ""P09675"", ""P13840"", ""P15187"", ""P15962"", ""P15965"", ""P17459"", ""P20179"", ""P22958"", ""P27209"", ""P27462"", ""P28727"", ""P31843"", ""P69515"", ""Q02382"", ""Q33339"", ""Q3KSM3"", ""Q50LE4"", ""Q64FP0"", ""Q66117"", ""Q66136"", ""Q66145"", ""Q67683"", ""Q698V5"", ""Q6XNL5"", ""Q83262"", ""Q83265"", ""Q83927"", ""Q83944"", ""Q85055"", ""Q86783"", ""Q8JU61"", ""Q8JVC2"", ""Q8VA42"", ""Q96711"", ""Q993M1"", ""Q9DIC5"", ""Q9DUT2"", ""Q9IWA0"", ""Q9J5U7"", ""Q9QAZ8"", ""Q9YPD5"", ""P36352""]}"
('2.7.7.49',)	3	31	"{""('SSF46919',)"": [""P10399""], ""('SSF53098',)"": [""Q03276""], ""('SSF56672',)"": [""O13339"", ""O14746"", ""O70372"", ""Q1PS67"", ""Q27ID4"", ""Q4KTA7"", ""Q673L6"", ""Q6A548"", ""Q9SPU7"", ""P0DV86"", ""P23070"", ""O00939"", ""P0DV59"", ""P0DV89"", ""P0DV94"", ""P23072"", ""P71276"", ""Q46666"", ""Q47526"", ""Q8LKW0"", ""P15594"", ""P19593"", ""P23071"", ""Q03269"", ""Q03270"", ""Q03274"", ""Q03278"", ""Q03279"", ""Q05118""]}"
