Entry	Entry Name	EC number	SUPFAM	Protein existence	Protein names	Gene Names	Organism	PDB	AlphaFoldDB	Date of last modification	Entry version	Taxonomic lineage	Super Kingdom	Is EC Complete
A0RMY9	PURA_CAMFF	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA CFF8240_0370	Campylobacter fetus subsp. fetus (strain 82-40)	()	A0RMY9;	2025-06-18	101	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Campylobacterota (phylum), Epsilonproteobacteria (class), Campylobacterales (order), Campylobacteraceae (family), Campylobacter (genus), Campylobacter fetus (species), Campylobacter fetus subsp. fetus (subspecies)	Bacteria	True
A0RQM8	PANC_CAMFF	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC CFF8240_1370	Campylobacter fetus subsp. fetus (strain 82-40)	()	A0RQM8;	2025-04-09	99	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Campylobacterota (phylum), Epsilonproteobacteria (class), Campylobacterales (order), Campylobacteraceae (family), Campylobacter (genus), Campylobacter fetus (species), Campylobacter fetus subsp. fetus (subspecies)	Bacteria	True
A0ZZG5	PURA_BIFAA	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA BAD_0067	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	()	A0ZZG5;	2025-06-18	101	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Bifidobacteriales (order), Bifidobacteriaceae (family), Bifidobacterium (genus), Bifidobacterium adolescentis (species)	Bacteria	True
A1A787	CAIC_ECOK1	('6.2.1.48',)	('SSF56801',)	Inferred from homology	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48)	caiC Ecok1_00330 APECO1_1944	Escherichia coli O1:K1 / APEC	()	A1A787;	2025-06-18	85	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
A1A7H9	PANC_ECOK1	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Ecok1_01250 APECO1_1852	Escherichia coli O1:K1 / APEC	()	A1A7H9;	2025-04-09	95	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
A1A8B3	QUEC_ECOK1	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC Ecok1_04090 APECO1_1567	Escherichia coli O1:K1 / APEC	()	A1A8B3;	2025-06-18	100	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
A1ABS1	NADE_ECOK1	('6.3.1.5',)	('SSF52402',)	Inferred from homology	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE Ecok1_16170 APECO1_809	Escherichia coli O1:K1 / APEC	()	A1ABS1;	2025-06-18	93	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
A1AJ82	PURA_ECOK1	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Ecok1_42280 APECO1_2215	Escherichia coli O1:K1 / APEC	()	A1AJ82;	2025-06-18	99	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)	Bacteria	True
A1ALC9	PURA_PELPD	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Ppro_0518	Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1)	()	A1ALC9;	2025-06-18	95	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Thermodesulfobacteriota (phylum), Desulfuromonadia (class), Desulfuromonadales (order), Desulfuromonadaceae (family), Pelobacter (genus), Pelobacter propionicus (species)	Bacteria	True
A1ANI8	QUEC_PELPD	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC Ppro_1288	Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1)	()	A1ANI8;	2025-04-09	92	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Thermodesulfobacteriota (phylum), Desulfuromonadia (class), Desulfuromonadales (order), Desulfuromonadaceae (family), Pelobacter (genus), Pelobacter propionicus (species)	Bacteria	True
A1AUV7	PANC_PELPD	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Ppro_3535	Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1)	()	A1AUV7;	2025-04-09	91	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Thermodesulfobacteriota (phylum), Desulfuromonadia (class), Desulfuromonadales (order), Desulfuromonadaceae (family), Pelobacter (genus), Pelobacter propionicus (species)	Bacteria	True
A1AV54	BIOD_RUTMC	('6.3.3.3',)	('SSF52540',)	Inferred from homology	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD Rmag_0007	Ruthia magnifica subsp. Calyptogena magnifica	()	A1AV54;	2025-06-18	93	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Gammaproteobacteria incertae sedis (no rank), Candidatus Pseudothioglobaceae (family), Candidatus Ruthturnera (genus), Candidatus Ruthturnera calyptogenae (species)	Bacteria	True
A1AW71	PANC_RUTMC	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Rmag_0416	Ruthia magnifica subsp. Calyptogena magnifica	()	A1AW71;	2025-06-18	90	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Gammaproteobacteria incertae sedis (no rank), Candidatus Pseudothioglobaceae (family), Candidatus Ruthturnera (genus), Candidatus Ruthturnera calyptogenae (species)	Bacteria	True
A1AWH8	PURA_RUTMC	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Rmag_0531	Ruthia magnifica subsp. Calyptogena magnifica	()	A1AWH8;	2025-06-18	96	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Gammaproteobacteria incertae sedis (no rank), Candidatus Pseudothioglobaceae (family), Candidatus Ruthturnera (genus), Candidatus Ruthturnera calyptogenae (species)	Bacteria	True
A1AWK9	QUEC_RUTMC	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC Rmag_0564	Ruthia magnifica subsp. Calyptogena magnifica	()	A1AWK9;	2025-06-18	91	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Gammaproteobacteria incertae sedis (no rank), Candidatus Pseudothioglobaceae (family), Candidatus Ruthturnera (genus), Candidatus Ruthturnera calyptogenae (species)	Bacteria	True
A1AZF8	SYGB_PARDP	('6.1.1.14',)	('SSF109604',)	Inferred from homology	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	glyS Pden_0540	Paracoccus denitrificans (strain Pd 1222)	()	A1AZF8;	2025-04-09	100	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Paracoccus (genus), Paracoccus denitrificans (species)	Bacteria	True
A1AZM1	PURA_PARDP	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Pden_0603	Paracoccus denitrificans (strain Pd 1222)	()	A1AZM1;	2025-06-18	101	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Paracoccus (genus), Paracoccus denitrificans (species)	Bacteria	True
A1B2L1	PANC_PARDP	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Pden_1658	Paracoccus denitrificans (strain Pd 1222)	()	A1B2L1;	2025-04-09	95	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Paracoccus (genus), Paracoccus denitrificans (species)	Bacteria	True
A1B9Q5	QUEC_PARDP	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC Pden_4185	Paracoccus denitrificans (strain Pd 1222)	()	A1B9Q5;	2025-04-09	91	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Paracoccus (genus), Paracoccus denitrificans (species)	Bacteria	True
A1BDY2	PANC_CHLPD	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Cpha266_0553	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	()	A1BDY2;	2025-04-09	96	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Chlorobiota (phylum), Chlorobiia (class), Chlorobiales (order), Chlorobiaceae (family), Chlorobium/Pelodictyon group (no rank), Chlorobium (genus), Chlorobium phaeobacteroides (species)	Bacteria	True
A1BEN4	NADE_CHLPD	('6.3.1.5',)	('SSF52402',)	Inferred from homology	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE Cpha266_0810	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	()	A1BEN4;	2025-06-18	91	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Chlorobiota (phylum), Chlorobiia (class), Chlorobiales (order), Chlorobiaceae (family), Chlorobium/Pelodictyon group (no rank), Chlorobium (genus), Chlorobium phaeobacteroides (species)	Bacteria	True
A1BHS4	QUEC_CHLPD	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC Cpha266_1935	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	()	A1BHS4;	2025-04-09	91	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Chlorobiota (phylum), Chlorobiia (class), Chlorobiales (order), Chlorobiaceae (family), Chlorobium/Pelodictyon group (no rank), Chlorobium (genus), Chlorobium phaeobacteroides (species)	Bacteria	True
A1BJ01	PURA_CHLPD	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Cpha266_2390	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	()	A1BJ01;	2025-06-18	101	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Chlorobiota (phylum), Chlorobiia (class), Chlorobiales (order), Chlorobiaceae (family), Chlorobium/Pelodictyon group (no rank), Chlorobium (genus), Chlorobium phaeobacteroides (species)	Bacteria	True
A1CNR3	PURA_ASPCL	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	ACLA_019890	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	()	A1CNR3;	2025-06-18	99	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Fumigati (subgenus), Aspergillus clavatus (species)	Eukaryota	True
A1D1M2	PURA_NEOFI	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	NFIA_009950	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	()	A1D1M2;	2025-06-18	101	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Fumigati (subgenus), Aspergillus fischeri (species)	Eukaryota	True
A1JIK3	ACSA_YERE8	('6.2.1.1',)	('SSF56801',)	Inferred from homology	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acs YE0309	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	()	A1JIK3;	2025-06-18	92	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Yersiniaceae (family), Yersinia (genus), Yersinia enterocolitica (species), Yersinia enterocolitica subsp. enterocolitica (subspecies)	Bacteria	True
A1JIS0	PURA_YERE8	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA YE0382	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	()	A1JIS0;	2025-06-18	99	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Yersiniaceae (family), Yersinia (genus), Yersinia enterocolitica (species), Yersinia enterocolitica subsp. enterocolitica (subspecies)	Bacteria	True
A1JJN7	PANC_YERE8	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC YE0719	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	()	A1JJN7;	2025-04-09	89	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Yersiniaceae (family), Yersinia (genus), Yersinia enterocolitica (species), Yersinia enterocolitica subsp. enterocolitica (subspecies)	Bacteria	True
A1JNM3	QUEC_YERE8	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC YE3127	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	()	A1JNM3;	2025-06-18	89	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Yersiniaceae (family), Yersinia (genus), Yersinia enterocolitica (species), Yersinia enterocolitica subsp. enterocolitica (subspecies)	Bacteria	True
A1K2H5	QUEC_AZOSB	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC azo0413	Azoarcus sp. (strain BH72)	()	A1K2H5;	2025-04-09	90	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Rhodocyclales (order), Zoogloeaceae (family), Azoarcus (genus)	Bacteria	True
A1K400	PURA_AZOSB	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA azo0938	Azoarcus sp. (strain BH72)	()	A1K400;	2025-06-18	101	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Rhodocyclales (order), Zoogloeaceae (family), Azoarcus (genus)	Bacteria	True
A1KAA6	PANC_AZOSB	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC azo3145	Azoarcus sp. (strain BH72)	()	A1KAA6;	2025-04-09	92	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Rhodocyclales (order), Zoogloeaceae (family), Azoarcus (genus)	Bacteria	True
A1KFH8	PURA_MYCBP	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA BCG_0395c	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	()	A1KFH8;	2025-06-18	94	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank), Mycobacterium tuberculosis (species), Mycobacterium bovis (biotype), Mycobacterium tuberculosis variant bovis BCG (no rank)	Bacteria	True
A1KJ01	BIOD_MYCBP	('6.3.3.3',)	('SSF52540',)	Inferred from homology	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD BCG_1623	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	()	A1KJ01;	2025-02-05	88	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank), Mycobacterium tuberculosis (species), Mycobacterium bovis (biotype), Mycobacterium tuberculosis variant bovis BCG (no rank)	Bacteria	True
A1KKH3	MSHC_MYCBP	('6.3.1.13',)	('SSF52374',)	Inferred from homology	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase)	mshC BCG_2147c	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	()	A1KKH3;	2025-02-05	97	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank), Mycobacterium tuberculosis (species), Mycobacterium bovis (biotype), Mycobacterium tuberculosis variant bovis BCG (no rank)	Bacteria	True
A1KPT7	PANC_MYCBP	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC BCG_3666c	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	()	A1KPT7;	2025-02-05	94	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium tuberculosis complex (no rank), Mycobacterium tuberculosis (species), Mycobacterium bovis (biotype), Mycobacterium tuberculosis variant bovis BCG (no rank)	Bacteria	True
A1KSD4	QUEC_NEIMF	('6.3.4.20',)	('SSF52402',)	Inferred from homology	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC NMC0464	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18)	()	A1KSD4;	2025-04-09	89	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Neisseriales (order), Neisseriaceae (family), Neisseria (genus), Neisseria meningitidis (species), Neisseria meningitidis serogroup C (serogroup)	Bacteria	True
A1KSZ5	BIOD_NEIMF	('6.3.3.3',)	('SSF52540',)	Inferred from homology	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD NMC0686	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18)	()	A1KSZ5;	2025-04-09	94	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Neisseriales (order), Neisseriaceae (family), Neisseria (genus), Neisseria meningitidis (species), Neisseria meningitidis serogroup C (serogroup)	Bacteria	True
A1KT71	PURA_NEIMF	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA NMC0765	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18)	()	A1KT71;	2025-06-18	102	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Neisseriales (order), Neisseriaceae (family), Neisseria (genus), Neisseria meningitidis (species), Neisseria meningitidis serogroup C (serogroup)	Bacteria	True
A1KTB2	PANC_NEIMF	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC NMC0812	Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18)	()	A1KTB2;	2025-04-09	94	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Neisseriales (order), Neisseriaceae (family), Neisseria (genus), Neisseria meningitidis (species), Neisseria meningitidis serogroup C (serogroup)	Bacteria	True
A1QZK9	PURA_BORT9	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA BT0421B	Borrelia turicatae (strain 91E135)	()	A1QZK9;	2025-06-18	91	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Spirochaetota (phylum), Spirochaetia (class), Spirochaetales (order), Borreliaceae (family), Borrelia (genus), Borrelia turicatae (species)	Bacteria	True
A1R163	PANC_PAEAT	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC AAur_0147	Paenarthrobacter aurescens (strain TC1)	()	A1R163;	2025-02-05	117	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Micrococcaceae (family), Paenarthrobacter (genus), Paenarthrobacter aurescens (species)	Bacteria	True
A1R2A8	PURA_PAEAT	('6.3.4.4',)	('SSF52540',)	Inferred from homology	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA AAur_0563	Paenarthrobacter aurescens (strain TC1)	()	A1R2A8;	2025-06-18	119	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Micrococcaceae (family), Paenarthrobacter (genus), Paenarthrobacter aurescens (species)	Bacteria	True
A1R6P9	MSHC_PAEAT	('6.3.1.13',)	('SSF52374',)	Inferred from homology	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase)	mshC AAur_2169	Paenarthrobacter aurescens (strain TC1)	()	A1R6P9;	2025-04-09	114	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Micrococcaceae (family), Paenarthrobacter (genus), Paenarthrobacter aurescens (species)	Bacteria	True
A1RG66	PANC_SHESW	('6.3.2.1',)	('SSF52374',)	Inferred from homology	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Sputw3181_0810	Shewanella sp. (strain W3-18-1)	()	A1RG66;	2025-04-09	93	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Shewanellaceae (family), Shewanella (genus), unclassified Shewanella (no rank)	Bacteria	True
A1RIK1	ACSA_SHESW	('6.2.1.1',)	('SSF56801',)	Inferred from homology	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA Sputw3181_1659	Shewanella sp. (strain W3-18-1)	()	A1RIK1;	2025-06-18	92	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Shewanellaceae (family), Shewanella (genus), unclassified Shewanella (no rank)	Bacteria	True
